Box	Species	Ring	Tag	Who	Clutch size	Chick.weight	Fledged	Fledge.order	Notes	Location	Assigned.side	Treatment	Assigned.day	Failed
B02	GRETI	C5A1908	0700EDA1F4	Female						Castle				
B02	GRETI	C5H4514	0700EDD4F7	Male						Castle				
B03	BLUTI	B4R7904	011017811F	Female						Castle				
B03	BLUTI	B4R7999	011017A2C1	Male						Castle				
B03	BLUTI	B5H0209	NA	Chick		8.9				Castle				
B03	BLUTI	B5H0210	077017A6D3	Chick		10.1				Castle				
B03	BLUTI	B5H0211	0770179F41	Chick		10.3				Castle				
B05	GRETI	C5A1908	0700EDA1F4	Female						Castle				yes
B06	GRETI	NA	0700EDAD6F	Female						Castle				yes
B07	GRETI	C5H4701	0700EDFCC0	Male						Castle				
B07	GRETI	C5H4072	0700EE1EEC	Female						Castle	right		46	
B10	BLUTI	B5H0239	0110179B5B	Female						Castle				
B10	BLUTI	B5H0238	011017874B	Male						Castle				
B12	GRETI	C3T0998	011017A3B6	Female						Castle				
B12	GRETI	NA	0700EDD4F7	Male						Castle				
B12	GRETI	C5H4563	0700EDAD90	Chick		15.8				Castle				
B12	GRETI	C5H4564	0700EE363D	Chick		14.7				Castle				
B16	GRETI	C3T0853	0110178D6C	Male						Castle				yes
B17	GRETI	C5A1853	0700EDEFDA	Female						Castle				
B17	GRETI	C5A1055	0700EE440C	Male						Castle				
B17	GRETI	C5H4702	0700EDB0B9	Chick		18.6				Castle				
B17	GRETI	C5H4703	0700EE2B90	Chick		18.2				Castle				
B17	GRETI	C5H4704	0700EDF8F1	Chick		15.5				Castle				
B17	GRETI	C5H4705	0700EDFDEE	Chick		17.5				Castle				
B17	GRETI	C5H4706	0700EDD5EA	Chick		17.4				Castle				
B19	BLUTI	B4R7467	011017A34A	Female						Castle				
B19	BLUTI	B4R7872	0110178BEA	Male						Castle				
B19	BLUTI	B5H0256	011017934D	Chick		11.2				Castle				
B19	BLUTI	B5H0257	0110179E45	Chick		12.5				Castle				
B19	BLUTI	B5H0258	011017A2C8	Chick		12				Castle				
B19	BLUTI	B5H0259	011017A675	Chick		11.2				Castle				
B19	BLUTI	B5H0260	0110179011	Chick		10.6				Castle				
B19	BLUTI	B5H0261	01101791CF	Chick		11.3				Castle				
