Location	Date	Ring	Species	Age	Sex confirmed	Sex suspected	Tar (mm)	Wing (mm)	Weight (g)	N/R	Pit	Pit_code	Observer ID	Adult/Nestling	Box_Number
Mill	22/10/2016	B4R7048	MARTI	4			18.8	66	10.9	N	0110179BE5	1	DRF	A	
Mill	22/10/2016	C3T0067	NUTHA	2	M		25.0	88	23.0	N	0110178094	1	JAK	A	
Mill	22/10/2016	C3L9827	GRETI	3	M		23.4	79	20.5	R	0110177678	1	DRF	A	
Mill	22/10/2016	C3L9818	NUTHA	2	F		22.6	86	23.4	R	010799F8DC	1	DRF	A	
Mill	04/11/2016	B1V6941	BLUTI	4		F	19.7	69	11.5	R	011017914E	1	DRF	A	
Mill	04/11/2016	B4R7050	BLUTI	4	M		20.3	70	12.0	N	0110179786	1	SDL	A	
Mill	04/11/2016	B4R7051	MARTI	3		M	18.8	66	11.5	N	0110179D0E	1	DRF	A	
Mill	04/11/2016	B4R7052	MARTI	3			19.2	68	11.6	N	011017959A	1	DRF	A	
Mill	04/11/2016	C3T0068	NUTHA	2	F		22.8	86	22.0	N	0110177BE2	1	DRF	A	
Mill	04/11/2016	C3T0069	NUTHA	2	M		23.5	90	23.6	N	01101783BC	1	SDL	A	
Mill	04/11/2016	C3T0070	NUTHA	2	F		22.7	88	22.7	N	01101786EA	1	DRF	A	
Mill	17/11/2016	C3T0073	GRETI	3	F		21.0	75	16.2	N	0110177B80	1	DRF	A	
Mill	17/11/2016	C3T0075	GRETI	4	F		21.8	76	16.2	N	01101771AF	1	DRF	A	
Mill	17/11/2016	B4R7053	BLUTI	3	M		19.1	70	11.7	N	011017A333	1	DRF	A	
Mill	17/11/2016	C3L9818	NUTHA	2	F					R	010799F8DC	0	DRF	A	
Mill	17/11/2016	C3L9842	GRETI	3	M		23.2	77	18.2	R	01101785C4	1	DRF	A	
Mill	17/11/2016	C3T0071	GRETI	3	M		21.4	76	17.4	N	0110177589	1	DRF	A	
Mill	17/11/2016	C3T0072	GRETI	4	M		23.0	81	20.7	N	0110177BD3	1	DRF	A	
Mill	17/11/2016	C3T0074	GRETI	3	M		22.6	82	19.4	N	0110178191	1	DRF	A	
Mill	17/11/2016	C3T0076	GRETI	4	F		22.1	75	17.5	N	0110178253	1	DRF	A	
Mill	17/11/2016	C3T0077	GRETI	3	F		20.9	75	16.8	N	0110177F58	1	DRF	A	
Mill	22/11/2016	C3T0078	GRETI	4	F		22.9	77	16.7	N	01101771B2	1	DRF	A	
Mill	22/11/2016	B4R7054	MARTI	3		M	19.5	69	11.6	N	01101790F6	1	DRF	A	
Mill	22/11/2016	C3T0079	GRETI	4	F		22.0	76	17.5	N	0110175F69	1	DRF	A	
Mill	22/11/2016	B4R7057	BLUTI	4	F		19.2	67	11.2	N	011017A76E	1	DRF	A	
Mill	22/11/2016	C1T5018	GRETI	4	F		22.4	75	18.1	R	0110176FD2	1	DRF	A	
Mill	22/11/2016	B4P6998	BLUTI	3	M		19.6	69	11.7	R	011017A432	1	DRF	A	
Mill	22/11/2016	B4R7058	MARTI	3			18.9	64	10.6	N	011017A354	1	DRF	A	
Mill	22/11/2016	C3T0081	GRETI	4	M		24.7	78	17.4	N	0110177A13	1	DRF	A	
Mill	22/11/2016	C3T0082	GRETI	4	M		22.3	80	18.7	N	0110177EEE	1	DRF	A	
Mill	23/11/2016	C3T0083	GRETI	3	M		22.4	80	18.7	N	0110177DB3	1	DRF	A	
Mill	23/11/2016	B4R7060	MARTI	4		M	19.4	67	11.5	N	0110178DF1	1	DRF	A	
Mill	23/11/2016	C3T0085	GRETI	3	M		22.0	80	18.0	N	0110177484	1	DRF	A	
Mill	23/11/2016	C3T0087	GRETI	3	F		22.3	75	17.0	N	0110178A68	1	DRF	A	
Mill	23/11/2016	C3T0024	GRETI	3	F		22.6	74	17.7	R	0110177AB0	1	DRF	A	
Mill	23/11/2016	B4R7064	BLUTI	3		F	18.8	65	11.0	N	0110179165	1	DRF	A	
Mill	23/11/2016	B4R7065	BLUTI	3	M		19.8	68	10.8	N	0110179325	1	DRF	A	
Mill	23/11/2016	C3T0096	GRETI	3	M		22.9	79	17.2	N	011017716B	1	DRF	A	
Mill	23/11/2016	C3L9875	GRETI	4	F		23.2	75	16.8	N	0110179191	1	DRF	A	
Mill	23/11/2016	B4P6921	MARTI	4	F		18.3	65	11.0	R	0110177F0D	1	DRF	A	
Mill	23/11/2016	B4P6959	BLUTI	4	M		19.9	69	11.6	R	011017953C	1	DRF	A	
Mill	23/11/2016	B4R7059	BLUTI	3	F		18.1	66	10.1	N	011017A14C	1	DRF	A	
Mill	23/11/2016	B4R7062	MARTI	4			19.0	64	10.7	N	011017A77B	1	DRF	A	
Mill	23/11/2016	B4R7063	BLUTI	3	M		19.3	67	11.0	N	0110179121	1	DRF	A	
Mill	23/11/2016	B4R7066	BLUTI	4	M		19.0	72	11.1	N	0110179397	1	DRF	A	
Mill	23/11/2016	B4R7067	BLUTI	3	M		19.5	68	11.6	N	0110179202	1	DRF	A	
Mill	23/11/2016	B4R7069	BLUTI	3	F		18.6	66	10.8	N	0110179324	1	DRF	A	
Mill	23/11/2016	C1X0745	GRETI	4	M		22.1	79	18.9	R	0110177F81	1	DRF	A	
Mill	23/11/2016	C3L9872	GRETI	3	F		22.8	74	16.7	R	0110178DB8	1	DRF	A	
Mill	23/11/2016	C3L9896	GRETI	4	M		23.0	78	18.1	R	01101780EB	1	DRF	A	
Mill	23/11/2016	C3T0002	GRETI	3	M		23.0	77	19.3	R	01101765BB	1	DRF	A	
Mill	23/11/2016	C3T0008	GRETI	3	F		22.7	75	18.5	R	01101772C2	1	DRF	A	
Mill	23/11/2016	C3T0035	GRETI	3	F		22.8	77	17.8	R	0110177027	1	DRF	A	
Mill	23/11/2016	C3T0084	GRETI	4	M		23.4	79	18.4	N	0110176D9A	1	DRF	A	
Mill	23/11/2016	C3T0086	GRETI	3	M		22.2	79	18.9	N	01101772E1	1	DRF	A	
Mill	23/11/2016	C3T0088	GRETI	3	M		23.5	80	19.3	N	0110176D3E	1	DRF	A	
Mill	23/11/2016	C3T0089	GRETI	3	M		21.9	77	17.3	N	0110176E8B	1	DRF	A	
Mill	23/11/2016	C3T0091	GRETI	3	M		23.3	79	20.0	N	0110177A03	1	DRF	A	
Mill	23/11/2016	C3T0092	GRETI	4	M		22.8	82	18.7	N	0110176FC0	1	DRF	A	
Mill	23/11/2016	C3T0093	GRETI	4	M		23.1	80	18.3	N	0110178599	1	DRF	A	
Mill	23/11/2016	C3T0094	GRETI	4	M		22.9	78	18.6	N	011017761A	1	DRF	A	
Mill	23/11/2016	C3T0095	GRETI	4	F		22.4	74	18.0	N	0110178989	1	DRF	A	
Mill	24/11/2016	B1V6955	BLUTI	4	M		18.8	67	11.3	R	011017A622	1	DRF	A	
Mill	24/11/2016	C3T0028	GRETI	3	F		22.5	75	17.3	R	0110178203	1	DRF	A	
Mill	24/11/2016	C3T0098	GRETI	4	F		22.9	76	16.9	N	0110178428	1	DRF	A	
Mill	24/11/2016	B4P6959	BLUTI	4	M				11.8	R	011017953C	2	SHPL	A	
Mill	24/11/2016	B4P6920	BLUTI	3	M		19.2	68	11.5	R	01101790A9	1	DRF	A	
Mill	24/11/2016	B4R7072	BLUTI	3	F		17.4	66	10.1	N	0110179E28	1	DRF	A	
Mill	24/11/2016	B4R7073	MARTI	3		F	18.9	64	10.8	N	0110179C63	1	DRF	A	
Mill	24/11/2016	C3T0002	GRETI	3	M				19.2	R	01101765BB	3	AM	A	
Mill	24/11/2016	C3T0059	GRETI	3	M		22.3	78	17.9	R	0110176CAB	1	DRF	A	
Mill	24/11/2016	C3T0069	NUTHA	2	M					R	01101783BC	3	AM	A	
Mill	24/11/2016	C3T0089	GRETI	3	M				17.2	R	0110176E8B	3	GHD	A	
Mill	24/11/2016	C3T0092	GRETI	3	M				19.0	R	0110176FC0	3	AM	A	
Mill	24/11/2016	C3T0093	GRETI	3	M				18.5	R	0110178599	3	AM	A	
Mill	24/11/2016	C3T0097	GRETI	4	M		23.2	79	19.6	N	0110177BCD	1	DRF	A	
Mill	24/11/2016	C3T0099	GRETI	4	F		21.9	78	16.2	N	01101782B8	1	DRF	A	
Mill	24/11/2016	C3T0100	GRETI	4	M		22.8	79	18.5	N 	01101780AF	1	DRF	A	
Mill	24/11/2016	C3T0101	GRETI	3	M		23.1	77	18.2	N	0110178460	1	DRF	A	
Mill	24/11/2016	CX22189	GRETI	4	M		23.0	79	19.4	R	0110178269	1	DRF	A	
Mill	24/11/2016	CX22195	GRETI	4	F		22.2	76	18.5	R	0110178702	1	DRF	A	
Mill	25/11/2016	B4P6921	MARTI	4	F				10.8	R	0110177F0D	3	AM	A	
Mill	25/11/2016	C3T0102	GRETI	4	M		22.8	78	17.7	N	011017709D	1	AM	A	
Mill	25/11/2016	B4R7075	MARTI	3	M		19.9	63	12.1	N	011017927A	1	DRF	A	
Mill	25/11/2016	B4R7052	MARTI	3	M				11.8	R	011017959A	3	AM	A	
Mill	25/11/2016	B4R7074	BLUTI	4	M		19.7	69	11.3	N	011017A425	1	DRF	A	
Mill	25/11/2016	C3T0005	GRETI	3	M		23.2	79	18.1	R	011017704E	1	DRF	A	
Mill	25/11/2016	C3T0076	GRETI	4	F				17.5	R	0110178253	3	AM	A	
Mill	25/11/2016	C3T0103	NUTHA	2	M		22.9	88		N	0110177F9D	1	DRF	A	
Mill	25/11/2016	C3T0104	GRETI	3	M		22.3	79	18.3	N	0110177E46	1	DRF	A	
Mill	13/01/2017	B4R7079	BLUTI	5	F		18.3	65	9.8	N	011017A166	1	DRF	A	
Mill	13/01/2017	C3T0106	GRETI	5	F		22.0	75	17.3	N	01101776EF	1	DRF	A	
Mill	13/01/2017	B4R7080	BLUTI	5	M		19.3	68	13.0	N	0110179577	1	DRF	A	
Mill	13/01/2017	B4R7081	BLUTI	5	F		18.5	60	10.4	N	011017A498	1	JKH	A	
Mill	13/01/2017	B4R7076	BLUTI	6	F		18.8	68	11.0	N	0110178F6D	1	DRF	A	
Mill	13/01/2017	B4R7077	BLUTI	6		F	20.6	69	11.1	N	01101793B5	1	DRF	A	
Mill	13/01/2017	B4R7078	BLUTI	6		M	20.1	72	11.8	N	0110178FE0	1	DRF	A	
Mill	13/01/2017	C3T0105	GRETI	5	M		22.4	77	17.9	N	011017890D	1	DRF	A	
BeeMarie	15/01/2017	C3L0404	GRETI	6	M			75.5	16.7	N	011017738A	1		A	
Mill	29/01/2017	C3L9853	GRETI	5	F		20.1	71	16.0	R	0110177773	1	JKH	A	
Mill	29/01/2017	C3T0107	GRETI	5	F		21.5	73	17.0	N	0110176D80	1	JKH	A	
Mill	29/01/2017	B4R7082	BLUTI	5	M		19.9	69	12.1	N	011017982F	1	JKH	A	
Mill	29/01/2017	B4R7083	BLUTI	5	F		18.7	64	10.2	N	011017A487	1	JKH	A	
Mill	29/01/2017	B4R7084	MARTI	5	M		18.2	64	10.9	N	01101791FF	1	DRF	A	
Mill	29/01/2017	B4P6967	BLUTI	5	M		19.0	67	11.2	R	0110179854	1	JKH	A	
Mill	29/01/2017	CL41359	GRETI	6	M		21.9	77	18.7	R	0110175EC8	1	DRF	A	
Mill	29/01/2017	B4R7085	BLUTI	5	M		18.5	64		N	0110179F3C	1	JKH	A	
