"Box" "PIT" "Date.Time" "Faceplated"
"1" "B17" "0700EDFDEE" "2021-05-25 09:42:56" "yes"
"2" "B17" "0700EDB0B9" "2021-05-25 09:41:56" "yes"
"3" "B17" "0700EE2B90" "2021-05-25 09:41:15" "yes"
"4" "B17" "0700EDD5EA" "2021-05-25 09:41:24" "yes"
"5" "B28" "0700EDB4AA" "2021-06-15 19:28:34" "yes"
"6" "B28" "0700EDC5FE" "2021-06-15 18:43:38" "yes"
"7" "B28" "0700EDBB8A" "2021-06-15 16:58:31" "yes"
"8" "B28" "0700EE3FDE" "2021-06-15 19:10:22" "yes"
"9" "B28" "0700EDA897" "2021-06-15 18:10:33" "yes"
"10" "B28" "0700EE456F" "2021-06-15 14:49:44" "yes"
"11" "B30" "0700EDD151" "2021-06-19 19:13:50" "yes"
"12" "B30" "0700EDECAC" "2021-06-20 06:48:21" "yes"
"13" "B30" "0700EE4136" "2021-06-19 19:23:44" "yes"
"14" "B30" "0700EDA1D9" "2021-06-19 20:17:45" "yes"
"15" "C09" "" "" "yes"
"16" "C09" "0700EDE8F1" "2021-06-01 07:11:59" "yes"
"17" "C09" "0700EDC2DF" "2021-06-01 07:11:27" "yes"
"18" "C09" "0700ED9DE9" "2021-06-01 07:11:43" "yes"
"19" "C14" "0110179143" "2021-05-26 09:23:15" "yes"
"20" "C14" "011017922B" "2021-05-27 08:55:45" "yes"
"21" "C14" "011017998E" "2021-05-27 09:00:40" "yes"
"22" "F06" "0700EDB737" "2021-05-25 12:12:34" "yes"
"23" "F06" "0700EE190E" "2021-05-25 12:10:34" "yes"
"24" "F06" "0700EE11AB" "2021-05-25 12:11:46" "yes"
"25" "F06" "0700EDD2A5" "2021-05-25 12:12:26" "yes"
"26" "F06" "0700EDE0C9" "2021-05-25 12:14:48" "yes"
"27" "F08" "0700EDCE33" "2021-05-19 18:18:30" "yes"
"28" "F08" "0700EDB532" "2021-05-19 17:50:05" "yes"
"29" "F08" "0700EE1EA3" "2021-05-19 18:40:49" "yes"
"30" "F08" "0700EDBDC0" "2021-05-19 18:38:36" "yes"
"31" "F13" "0700EDF2AE" "2021-05-20 13:33:32" "yes"
"32" "F13" "0700EDF3D3" "2021-05-20 13:33:50" "yes"
"33" "F13" "0700EDBFE2" "2021-05-20 13:36:29" "yes"
"34" "G07" "0700EE0D19" "2021-05-27 15:39:28" "yes"
"35" "G07" "0700EDD94C" "2021-05-27 16:01:10" "yes"
"36" "G07" "0700EDED1B" "2021-05-28 12:40:20" "yes"
"37" "G09" "0700EDFDC0" "2021-05-19 15:01:06" "yes"
"38" "G09" "0700EE1C87" "2021-05-19 15:00:14" "yes"
"39" "G09" "0700ED8795" "2021-05-19 15:00:41" "yes"
"40" "G09" "0700EE037E" "2021-05-19 15:02:09" "yes"
"41" "G33" "0700EDF4C4" "2021-05-25 14:24:08" "yes"
"42" "G33" "0700ED8813" "2021-05-27 10:12:13" "yes"
"43" "G33" "0700EE162F" "2021-05-27 10:13:06" "yes"
"44" "S25" "0700EE01EB" "2021-06-04 08:30:46" "yes"
"45" "S25" "0700EDBAE1" "2021-06-04 10:50:17" "yes"
"46" "V06" "0700EDB639" "2021-06-05 08:05:05" "yes"
"47" "V06" "0700EE2CB4" "2021-06-05 08:06:13" "yes"
"48" "V08" "0700EDF87C" "2021-05-25 11:42:10" "yes"
"49" "V08" "0700EE0001" "2021-05-25 11:42:54" "yes"
"50" "V08" "0700EE2B8A" "2021-05-25 11:43:55" "yes"
"51" "V08" "0700ED99A6" "2021-05-25 11:44:03" "yes"
"52" "V08" "0700EDD7F0" "2021-05-25 11:45:03" "yes"
"53" "V09" "" "" "yes"
"54" "V09" "0700EDA086" "2021-06-06 11:12:29" "yes"
"55" "V09" "0700EDE277" "2021-06-06 11:09:25" "yes"
"56" "V14" "0700EE2251" "2021-05-25 11:51:08" "yes"
"57" "V14" "0700EDC926" "2021-05-25 11:51:50" "yes"
"58" "V14" "0700EDEBE7" "2021-05-27 06:21:34" "yes"
"59" "V14" "0700EDABF8" "2021-05-27 06:22:59" "yes"
"60" "V14" "0700EDF83A" "2021-05-27 06:23:12" "yes"
"61" "W15" "0700EDB6C3" "2021-05-29 09:45:30" "yes"
"62" "W15" "0700ED8703" "2021-05-29 09:44:55" "yes"
"63" "W15" "0700EDB87C" "2021-05-29 09:45:10" "yes"
"64" "W25" "0700EE12A6" "2021-05-28 07:54:03" "yes"
"65" "W25" "0700EDCECC" "2021-05-28 07:52:13" "yes"
"66" "W25" "0700EDEA33" "2021-05-28 07:51:18" "yes"
"67" "W25" "0700ED8E3E" "2021-05-28 07:52:55" "yes"
