"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.s3","CONS.s4","CONS.ASOC.parents.solves_Mill_2","CONS.ASOC.scrounges_Mill_2","CONS.SOCIAL.parents.solves_Mill_2","CONS.SOCIAL.scrounges_Mill_2","OFFs1","OFFs2","OFFs3","OFFs4","OFFASOC.parents.solves_Mill_2","OFFASOC.scrounges_Mill_2","OFFSOCIAL.parents.solves_Mill_2","OFFSOCIAL.scrounges_Mill_2","convergence","loglik","Baseline.parameter1","Baseline.parameter2","s1","s2","s3","s4","ASOCIALparents.solves_Mill_2","ASOCIALscrounges_Mill_2","SOCIALparents.solves_Mill_2","SOCIALscrounges_Mill_2","SE.Baseline.parameter1","SE.Baseline.parameter2","SEs1","SEs2","SEs3","SEs4","SEasocialparents.solves_Mill_2","SEasocialscrounges_Mill_2","SEsocialparents.solves_Mill_2","SEsocialscrounges_Mill_2","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"214",214,"noILVs","1:2:3:0","weibull",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,209.891143701646,0.000568604372698871,0.00114552781453236,51.7416738160852,9.18397311835561,5399.58492434493,0,0,0,0,0,NA,0.00140236968585443,69.6559974681897,11.5375874213505,6719.09897475342,0,0,0,0,0,429.782287403292,431.115620736625,0,1,0.215262319985295
"158",158,"socialEffectsOnly","1:2:3:0","weibull",1,2,3,0,0,0,0,4,0,0,0,0,0,0,0,0,FALSE,209.113043626248,5.28278674761116e-05,0.000446709068557964,106.503043634725,17.5365602493589,10818.1333432378,0,0,0,0,-0.882301001909309,NA,NA,NA,NA,NA,0,0,0,0,NA,430.226087252497,432.135178161588,1.01955742496222,0.600628475692675,0.129292679126837
"84",84,"socialEffectsOnly","1:2:3:0","weibull",1,2,3,0,0,0,4,5,0,0,0,0,0,0,0,0,FALSE,208.335315192331,507.335951916465,0.000268247664355921,239.570940991867,34.1421783965134,18874.3249360592,0,0,0,-0.0120199214450757,-0.962159385308157,NA,NA,NA,NA,NA,0,0,0,NA,NA,430.670630384663,433.275281547454,2.15966081082814,0.339653124091548,0.0731145194822001
"162",162,"noILVs","1:2:3:4","weibull",1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,209.687297020526,0.00134589145453599,0.00368373969721058,16.2084963970753,1.8832166355145,1749.17986119741,13.4986656183243,0,0,0,0,0.301832326767481,0.00564153124047176,24.162680338471,2.36626812838091,2509.9794507225,22.3453767777158,0,0,0,0,431.374594041052,433.283684950143,2.16806421351743,0.3382289970767,0.0728079585970302
"90",90,"socialEffectsOnly","1:2:3:4","weibull",1,2,3,4,0,0,0,5,0,0,0,0,0,0,0,0,FALSE,208.480999574031,8.33696946057491e-06,0.00241491843875252,16.5078143899557,2.7111519500118,1674.70234966303,12.3969125247412,0,0,0,-1.12646411976157,NA,NA,NA,NA,NA,NA,0,0,0,NA,430.961999148062,433.566650310853,2.4510295742275,0.293606516561906,0.0632024199179168
"160",160,"additive","1:2:3:0","weibull",1,2,3,0,0,4,0,0,0,0,0,0,0,0,0,0,FALSE,209.885992883805,1439.14282598603,0.000123118889295523,530.424771276644,79.9308995862427,53277.8044051764,0,0,-1.60845882783767,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0,431.771985767611,433.681076676702,2.56545594007633,0.277279856639809,0.0596879052254755
"161",161,"additive","1:2:3:0","weibull",1,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,FALSE,210.032498784163,54.0385375874961,0.00273577749718885,21.3914522948564,3.79616854390811,2322.47839264119,0,-0.0179788947383712,0,0,0,NA,0.00234904824568333,20.6229999318101,3.35353260679368,2058.13049536934,0,0.225856954263805,0,0,0,432.064997568325,433.974088477416,2.85846774079067,0.239492334143418,0.0515536754664056
"32",32,"socialEffectsOnly","1:2:3:4","weibull",1,2,3,4,0,0,5,6,0,0,0,0,0,0,0,0,FALSE,207.715752890026,172.722177222205,0.00106658725671607,59.5596828225959,5.39129242825003,5164.06023707872,59.7498389249833,0,0,-0.0133105323490864,-0.963817073464406,NA,0.000937516225988037,55.9230796696914,4.93170640689406,5390.27849554959,75.0329901615358,0,0,0.0124232030950714,0.892598016254514,431.431505780052,434.860077208624,3.74445647199821,0.153780620254273,0.0331031730847126
"93",93,"additive","1:2:3:4","weibull",1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,FALSE,209.294509421209,172.985207725815,0.000585525717897876,112.427827958288,13.2491971527346,10457.7773151593,99.7853767378181,-0.019936789029232,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,432.589018842417,435.193670005208,4.07804926858239,0.130155598294935,0.0280175960480418
"92",92,"additive","1:2:3:4","weibull",1,2,3,4,0,5,0,0,0,0,0,0,0,0,0,0,FALSE,209.315834195379,2260.4417811435,7.47154735014899e-05,768.291423570118,100.288331702341,92347.0215087482,722.908616999209,0,-0.353383962650237,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,432.631668390757,435.236319553548,4.12069881692258,0.127409444178598,0.027426452541922
